"Date","Price","Open","High","Low","Vol.","Change %"
"10/20/2020","27,397.6","27,278.2","27,448.0","27,257.9","80.92K","0.48%"
"10/19/2020","27,267.7","27,166.9","27,336.1","27,122.9","79.05K","0.41%"
"10/16/2020","27,156.5","27,139.1","27,224.9","27,102.0","99.83K","0.12%"
"10/15/2020","27,122.8","27,226.6","27,255.0","27,092.8","93.67K","-0.36%"
"10/14/2020","27,221.4","27,224.3","27,282.2","27,161.7","102.02K","0.01%"
"10/13/2020","27,219.1","27,380.8","27,390.0","27,188.4","109.72K","-0.59%"
"10/12/2020","27,380.2","27,402.3","27,435.9","27,318.2","93.77K","-0.10%"
"10/09/2020","27,408.0","27,271.5","27,433.7","27,256.4","80.09K","0.51%"
"10/08/2020","27,268.0","27,294.3","27,326.0","27,210.0","123.27K","-0.08%"
"10/07/2020","27,289.1","27,231.7","27,343.0","27,198.4","110.97K","0.24%"
"10/06/2020","27,224.1","27,338.9","27,404.6","27,225.9","116.88K","-0.41%"
"10/05/2020","27,335.4","27,171.8","27,377.2","27,149.7","89.87K","0.62%"
"10/02/2020","27,165.9","27,242.4","27,249.4","27,121.9","133.94K","-0.27%"
"10/01/2020","27,238.9","27,169.3","27,294.6","27,161.2","124.52K","0.28%"
"09/30/2020","27,163.5","27,232.0","27,251.0","27,087.0","97.76K","-0.24%"
"09/29/2020","27,229.7","27,052.3","27,241.3","27,039.5","83.26K","0.68%"
"09/28/2020","27,046.5","26,992.0","27,085.9","26,937.5","67.41K","0.28%"
"09/25/2020","26,971.1","27,059.2","27,102.2","26,931.7","110.27K","-0.33%"
"09/24/2020","27,060.4","27,036.0","27,101.0","26,956.0","137.61K","0.11%"
"09/23/2020","27,031.4","27,139.1","27,171.1","27,012.8","138.97K","-0.37%"
"09/22/2020","27,131.0","27,282.8","27,292.1","27,099.7","126.71K","-0.54%"
"09/21/2020","27,278.2","27,463.7","27,516.3","27,191.3","138.86K","-0.54%"
"09/18/2020","27,426.3","27,464.8","27,520.6","27,413.8","101.57K","-0.08%"
"09/17/2020","27,449.5","27,389.5","27,477.6","27,202.3","120.78K","0.24%"
"09/16/2020","27,382.5","27,463.6","27,546.0","27,322.3","99.19K","-0.25%"
"09/15/2020","27,450.8","27,507.0","27,580.6","27,438.1","74.11K","-0.18%"
"09/14/2020","27,499.5","27,440.4","27,552.2","27,416.1","66.12K","0.18%"
"09/11/2020","27,449.6","27,382.5","27,522.7","27,379.0","85.28K","0.26%"
"09/10/2020","27,379.0","27,350.0","27,622.4","27,347.7","97.16K","0.10%"
"09/09/2020","27,351.1","27,304.8","27,427.6","27,237.6","107.98K","0.22%"
"09/08/2020","27,289.7","27,385.9","27,414.9","27,267.7","108.82K","-0.35%"
"09/07/2020","27,384.7","27,428.9","27,466.0","27,373.2","72.69K","-0.19%"
"09/04/2020","27,435.8","27,461.8","27,498.9","27,307.2","99.69K","-0.08%"
"09/03/2020","27,458.9","27,466.4","27,497.7","27,319.3","106.39K","-0.03%"
"09/02/2020","27,468.1","27,603.2","27,648.3","27,395.7","102.49K","-0.48%"
"09/01/2020","27,600.2","27,661.7","27,838.4","27,578.8","103.90K","-0.22%"
"08/31/2020","27,660.5","27,575.9","27,732.4","27,540.0","86.91K","0.28%"
"08/28/2020","27,584.0","27,397.5","27,625.8","27,370.8","95.97K","0.69%"
"08/27/2020","27,394.0","27,418.3","27,581.7","27,258.4","104.97K","-0.07%"
"08/26/2020","27,412.5","27,422.9","27,438.0","27,280.4","99.78K","-0.02%"
"08/25/2020","27,417.1","27,334.4","27,446.7","27,311.2","99.45K","0.36%"
"08/24/2020","27,318.7","27,317.6","27,467.7","27,309.4","86.29K","-0.06%"
